Authors,av_sentences,av_voc,lex_richness,av_punct,av_num_word_ns,av_num_words_sentences,av_num_words_sentences_ns,av_num_ns_sentences,av_words_length,av_ego,av_modal,emphasis,comparison,contrast,addition,illustration,comma,dotcomma,excl,qmark,dash,slash,twodot,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
Bacon,2170.0,46782.666666666664,14.994637717319861,6469.166666666667,40593.5,22.308650524753705,19.374529556946154,3.1006696796398896,5.4874247017020386,0.0051136761109226245,0.011420674614555216,0.00033847441121596955,0.011453338991008968,0.012547612679170527,0.06050445421343952,0.0,0.5933394340089934,0.12368447086935985,0.00022253081194693555,0.0025892158980030046,0.01858841118027786,0.0,0.021546567098158952,0.20509335431719009,0.014915229987838903,0.31481746429167556,0.008763144717075613,0.0020983856737487186,0.4430574433078189,0.21974628609581037,0.011696115601974392,0.008715454133581324,0.0,0.04066814507475499,0.4679757731835849,0.19261034408755992,0.06288003433722011,0.0018718554021508451,0.0027660538426687656,0.0038033240336695522,0.12776307318120037,0.03620907551803896,0.14929537162887185,0.008357774757374157,0.0038867825547845582,0.005818251186303264,0.07845100984810548,0.00014307175048286716,0.12288671101890931,0.049920118272647064,0.033919927510313086,0.07558957483844815,0.0763407015284832,0.07841524191048478,0.03991701838471994,0.007702029234327682,0.0005722870019314686,0.014664854424493884
Bentham,8168.0,150676.0,5.726193952587008,33340.0,125141.0,18.44711067580803,15.32088638589618,4.081782566111655,5.391550331226377,0.005058294244092663,0.012697677020321077,0.0,0.012250181794935313,0.008038932084608562,0.02983035136366179,0.0,0.45821835632873426,0.02012597480503899,0.001319736052789442,0.016376724655068987,0.20290941811637672,0.0,0.052009598080383926,0.32691894985335146,0.0984333643322126,1.129193790686029,0.014950997925459618,0.0011445740038629373,1.4519636597753773,0.5176335932470134,0.019100078689462764,0.013234136919665213,0.0,0.12690464267830318,1.2630374132627513,0.2975892410043637,0.4727090635953931,0.017597825309392662,0.014879462050218185,0.03204807210816224,0.5074754989627298,0.15237141426425352,0.43128979183060306,0.015237141426425353,0.005937477645038987,0.015952500178839688,0.2962300593747765,0.004435224264968882,0.3001645325130553,0.36561985835896704,0.13820731096644967,0.3777094212747693,0.0884183417984119,0.19436297303097502,0.10809070748980613,0.06845983260605193,0.006295157021246155,0.03655483224837256
Berkeley,1748.0,35219.5,9.224330575678117,4019.0,31425.0,20.08432597823915,17.94319661611129,2.2605253664247753,5.5481619275982075,0.011698503133028247,0.01796091947989294,3.2730099630735736e-05,0.008946362631381276,0.009751054393519847,0.045086438708943646,0.0,0.5824734488516949,0.0483474321905384,0.0001682935038707506,0.011306055238132818,0.04550733400305313,0.0,0.03490162153630746,0.12318477716574863,0.013770655983975965,0.24994634809356892,0.008262393590385579,0.000500751126690035,0.323056012590314,0.17229415551899277,0.009621575219972816,0.004435224264968882,0.0,0.04549681665355176,0.29626582731239715,0.1167465483940196,0.0864868731668932,0.0005722870019314685,0.004041776951140997,0.0014307175048286715,0.13416553401530867,0.026754417340296162,0.1199656627798841,0.004828671578796767,0.0017883968810358396,0.003290650261105945,0.06316617783818584,3.576793762071679e-05,0.10125903140424923,0.02217612132484441,0.032584591172473,0.07325273624722799,0.07736604907361042,0.07718720938550683,0.033693397238715214,0.013269904857285929,0.00042921525144860146,0.009263895843765649
Burke,8221.142857142857,149857.14285714287,6.8421436054189835,20526.64285714286,132268.92857142858,18.841148421750685,16.633162023119404,2.5909923529077394,5.604243214885218,0.010572187722598247,0.012947322357693162,9.808246998418781e-05,0.00862786573070522,0.007126648761034893,0.03845798660671866,0.0,0.5446526542954396,0.054374693443250265,0.0025741450106313056,0.010956849613304292,0.05538800819687057,1.8384007563458576e-05,0.014610413824046958,0.42260840239951764,0.06246614820189467,1.1970046907095337,0.014399149745025699,0.00224827036473077,1.4334971845523388,0.6473179156489836,0.021951294288371333,0.023320695328707345,0.0,0.15461457492360992,1.3735501211000174,0.48921852166004104,0.3737596190203673,0.014654635013745105,0.023867433803766873,0.021798003127139694,0.4901944753865492,0.24034010198971928,0.4160475406988033,0.01632550867117002,0.012462571408132606,0.01649412894852483,0.3254218061786558,0.0015942280768090913,0.37310557673244565,0.2860310874474978,0.10811114631130371,0.3028164696023628,0.18948320439843439,0.19656525604733635,0.10081448703667747,0.0578163163112015,0.004322810746732343,0.031133434846146772
Cavendish,2138.0,59531.5,7.962114372341912,10830.5,50363.5,28.299934034208107,24.091564000933495,4.962080491440444,5.458407438076563,0.007379241767552678,0.016816552044678523,0.0008705826985740146,0.014865186454314137,0.017923352586458278,0.053845806179865924,0.0,0.6006789583622969,0.12025123339030858,0.0004175365344467641,0.01553769414227816,0.04160100474896371,3.453992815694943e-05,0.05213382243986783,0.25134129766077684,0.02103154732098147,0.42631804850132343,0.020566564131912154,0.00035767937620716786,0.4903068889047858,0.25552614636240073,0.012089562915802276,0.007260891337005508,0.0,0.07124973174046785,0.23739180198869736,0.1727949066456828,0.5057944058945562,0.018635095500393446,0.00969311109521425,0.0093711996566278,0.14797195793690537,0.06359539308963445,0.18348951999427715,0.007904714214178411,0.003541025824450962,0.003719865512554546,0.07243007368195149,0.0016810930681736892,0.13949495672079548,0.1254739251734745,0.03659060018599328,0.059553616138493456,0.09199513556048358,0.07314543243436583,0.038486300879891265,0.008262393590385579,0.0006438228771729022,0.015666356677873954
Clifford,2652.0,44351.0,10.139568442650674,4606.0,40215.0,16.723604826546,15.164027149321267,1.7368024132730016,5.4422727837871445,0.012706701479547432,0.01929628248166107,7.459903021260723e-05,0.009250279746363298,0.00865348750466244,0.04045754071863732,0.0,0.47112462006079026,0.088797221016066,0.0010855405992184109,0.02301346070343031,0.059053408597481545,0.0,0.012592270950933565,0.13598969883396522,0.015237141426425353,0.333285642749839,0.008441233278489162,0.000500751126690035,0.4350096573431576,0.21832749123685527,0.008441233278489162,0.005365190643107518,0.0,0.06245081908577151,0.4275699263180485,0.13706273696258675,0.04156234351527291,0.0006438228771729022,0.0032191143858645113,0.005293654767866085,0.16939695257171472,0.049002074540382,0.15008226625652765,0.005937477645038987,0.0024322197582087417,0.006509764646970456,0.09042134630517204,0.00014307175048286716,0.1335574790757565,0.03998855425996137,0.03490950711781959,0.08620072966592746,0.07632877888260962,0.1137420416338794,0.0385578367551327,0.020673867944774306,0.0016453251305529723,0.013234136919665213
Dewey,5376.857142857143,75465.92857142857,11.733365113343458,9728.5,67410.64285714286,14.180055113817383,12.700557543531124,1.7720184557207432,5.870942602857171,0.002163831440730197,0.01138466345806495,9.62588156846495e-05,0.012672117800241741,0.00783629869494487,0.04265587791813886,0.0,0.42963255761560426,0.04335358793610026,0.0005849142596430964,0.00951507800368733,0.07853967823967208,1.318928457007769e-05,0.00942223207770931,0.22810746732343418,0.025226615433354107,0.5759659898010281,0.01191583293307308,0.0017168610057944063,0.7401306040693694,0.4570835845605143,0.013545828947502883,0.006739701388817921,1.0219410748776226e-05,0.06027919430165656,0.8729829438034604,0.26660909731944854,0.07185267697464563,0.0017832871756614508,0.004941085097033305,0.00828794211725752,0.17056196539707527,0.06408081510020132,0.22874107078985823,0.011323107109644058,0.0033315279041010487,0.012431913175886279,0.13648534025528083,0.00039344731382788463,0.16419016279521323,0.05176642514792595,0.07779015461968464,0.1327808038588495,0.09677271008553648,0.21061183612152926,0.060095244908178594,0.02052568648891705,0.0013489622188384617,0.017791994113619407
Emerson,5043.2,63789.4,14.003826232497676,9390.6,55104.0,12.543160874837014,10.81782421567622,1.8690779669806674,5.439063808637638,0.008616443874823219,0.01266745389644415,7.682074327952895e-05,0.008547925616782848,0.008825969756872155,0.05187350225103149,0.0,0.5296147480190527,0.07453691276583534,0.00613550306724589,0.015237689631158161,0.05868375222246588,0.0,0.01077951487767145,0.23828600042921527,0.01887116388869018,0.47768796051219686,0.010086558409042134,0.0007439731025109091,0.5182488017740897,0.28375420273267044,0.011646040489305388,0.011259746763001646,0.0,0.06466843121825595,0.6744259246011876,0.2326203591100937,0.10143787109235283,0.0015880964303598255,0.00675298662279133,0.006094856570570141,0.21526575577652193,0.09442735531869231,0.1674940982902926,0.006137778095715001,0.00291866370985049,0.007997710851992275,0.09611560197439016,0.0005865941769797554,0.15029687388225194,0.06093425853065312,0.03735603405107661,0.0764575434580442,0.10627369625867374,0.16765147721582374,0.03658344659846914,0.027426854567565634,0.0018027040560841263,0.01951498676586308
Fellerton,7204.666666666667,94962.66666666667,6.6342499161181365,12683.333333333334,83894.33333333333,13.586034913609039,11.999018325118968,1.8025356482041281,5.503584718318103,0.009492448424616285,0.022463638743564118,0.00021062628534979075,0.013516322879392464,0.008106977011497112,0.03323397837153567,0.0,0.41979995790818375,0.039302536408459404,0.0007146715894131046,0.02999907484973689,0.05807683287328715,9.278589654372535e-05,0.01535293175404714,0.23442306316617786,0.056107971481031076,0.7081097837232039,0.01764551589288695,0.0016691704223001167,0.8680401554713022,0.4645778191096168,0.015213296134678207,0.008178935069270572,0.0,0.1467439254119274,0.881226601807473,0.29305863557240625,0.1350597324558266,0.0017883968810358394,0.007105896940649069,0.010921143620192192,0.3535302954431647,0.0900159763454706,0.3185254071583566,0.011302668288146503,0.0029091255931516322,0.013377208670148077,0.1977251591673224,0.00040536995970145696,0.30071297422323967,0.05265040417769511,0.06927057252545485,0.17299759162553355,0.17204377995564776,0.255073085819205,0.0638338460071059,0.04614063953072466,0.0016214798388058279,0.03352648019648521
Godwin,8082.0,129720.0,8.039623805118717,15593.0,114996.0,16.05048255382331,14.228656273199704,1.9293491709972779,5.571915544888518,0.010252530522800793,0.016104907996799887,5.2175727851403525e-05,0.008304636683015062,0.008374204320150265,0.044914605725416536,0.0,0.5939844802154813,0.04271147309690246,0.005835952029756942,0.008529468351183223,0.03257872122106073,0.0,0.011928429423459244,0.414121181772659,0.041419271764790044,1.0051505830173832,0.020244652693325704,0.0007868946276557694,1.2073825023249158,0.582087416839545,0.02303455182774161,0.02575291508691609,0.0,0.16281565204950282,1.2688318191573074,0.44516775162744116,0.10258244509621575,0.0017168610057944058,0.015022533800701052,0.005293654767866085,0.4676300164532513,0.19829744616925388,0.3754202732670434,0.019600829816152802,0.01845625581228986,0.01902854281422133,0.2716932541669647,0.0003576793762071679,0.35345875956792333,0.12468703054581873,0.08569997853923743,0.252593175477502,0.1980828385435296,0.2958723799985693,0.10687459761070177,0.053437298805350884,0.00479290364117605,0.038843980256098434
Goldman,6597.333333333333,67858.0,11.416674207716722,10811.0,59794.333333333336,10.51117312789619,9.271256230942056,1.5980470083635883,5.5822389103566294,0.01771319034283975,0.011943478607708427,0.0003048773208280347,0.007058609902224756,0.008629446784827159,0.03514305709981041,0.0,0.3813389842493753,0.027226360641561267,0.01253685504146231,0.020965319703021904,0.07326169488543698,3.6271309394269135e-05,0.011809254237424974,0.1750244414240408,0.02649211913107757,0.48882848081646285,0.00827431623625915,0.000500751126690035,0.5537115196604431,0.3278966068149844,0.011135751245916495,0.010086558409042134,0.0,0.06137778095715001,0.6594892338507762,0.20914705391420463,0.19560292820182656,0.004959820683406061,0.00605670410377471,0.014402556215275295,0.25948446479242676,0.10308319622290578,0.2034957197701314,0.006772062856189046,0.0058182511863032645,0.01237570641676801,0.12552161575696877,0.0032906502611059446,0.16892004673677183,0.15668741207048667,0.05732408136013545,0.12020411569735556,0.07878484393256552,0.12320862245749575,0.021055392612728614,0.02675441734029616,0.0016453251305529723,0.021723060781648665
Hide,4446.0,62763.0,11.039742742790768,8074.0,55787.0,14.038216008049126,12.480293515595184,1.80891417733523,5.532170435121104,0.003307740624816902,0.014776743477009122,0.00013349011385445922,0.009220605757776137,0.0057570923368571135,0.05064273787072433,0.0,0.43493862693304686,0.08148843962452099,0.001588550189036194,0.010508400302298243,0.078843158493955,0.0,0.012639778164933415,0.22018742399313254,0.021138851133843624,0.4404106159238858,0.007940482151799128,0.00014307175048286716,0.5321196079834036,0.33671936476142783,0.018778167250876315,0.014164103297803848,0.0,0.0724300736819515,0.6750840546534087,0.20205307961942914,0.09592960869876244,0.0008584305028972029,0.006760140210315473,0.012304170541526575,0.2021603834322913,0.09296086987624294,0.17422562415051146,0.008047785964661278,0.004828671578796767,0.01158881178911224,0.13048143644037485,0.000679590814793619,0.18370412762000143,0.029222405036125616,0.046677158595035406,0.0707132126761571,0.08702339223120395,0.1825237856785178,0.046855998283138994,0.0291866370985049,0.0018599327562772731,0.01827741612418628
Hobbes,12578.0,249627.0,5.042723743825788,40250.0,211292.0,19.84631896962951,16.79853712831929,3.2000318015582763,5.472166480510384,0.003762565549097931,0.013043560570206161,0.00019877704787687182,0.010658235995683699,0.013147681880998806,0.04764023247449028,0.0,0.5819378881987578,0.1239751552795031,0.0,0.004372670807453416,0.018509316770186336,2.484472049689441e-05,0.032248447204968944,0.8909793261320552,0.11903569640174548,1.803634022462265,0.05651334144073253,0.002217612132484441,2.2868588597181487,0.7061306245081909,0.026468273839330425,0.020316188568567137,0.0,0.21639602260533658,1.4092567422562414,0.5453895128406896,2.000643822877173,0.05951784820087274,0.018241648186565564,0.0007868946276557694,0.6724372272694756,0.2716217182917233,0.6852421489376923,0.017526289434151226,0.010515773660490736,0.021246154946705773,0.5151298376135632,0.0002861435009657343,0.6175692109592961,0.3253451605980399,0.1495815151298376,0.3749195221403534,0.3255597682237642,0.5033264181987267,0.25824450962157525,0.06595607697260177,0.009299663781386365,0.08677301666785893
Hume,5634.5,102933.625,7.883135532962582,13265.25,90474.125,18.330363544802246,16.06544275108971,2.426068278800512,5.775390604284928,0.006859556346821969,0.018327743012141642,3.7335722819593786e-06,0.009445890326178256,0.009288615217996107,0.050363402100069746,0.0,0.6227980623060055,0.07822152826220503,0.0019266251100710265,0.01647100146982204,0.00946800044180334,0.0,0.015836571840168144,0.37796873882251947,0.03741326275126976,0.8227698690893485,0.015737892553115387,0.0014843694112597469,0.9232867157879676,0.5408291007940482,0.020217826740110165,0.013985263609700265,0.0,0.13269904857285927,1.0336039773946635,0.3539863366478289,0.08724694184133343,0.0025663495242864297,0.016515845196365977,0.002485871664639817,0.31274590457114243,0.11978682309178053,0.3285553329994993,0.019860147363902996,0.008709492810644539,0.004265326561270478,0.1936029043565348,0.0003219114385864511,0.27625366621360614,0.057094570427069176,0.07020351956506188,0.15091387080620933,0.1720795478932685,0.22843193361470776,0.08538700908505616,0.029562200443522427,0.0023696258673724874,0.03516882466556978
James,5926.285714285715,85546.42857142857,10.82755271037898,12395.142857142857,75864.28571428571,14.349571050012814,12.731521305180971,2.111120733744728,5.616388244204196,0.014263782737384637,0.017467624064985945,4.868077907270913e-05,0.012214877307494747,0.008469769986731494,0.0370508292865344,0.0,0.426561321247423,0.03939526240136982,0.004486019000245013,0.016805142284455007,0.07877770780944557,4.8471335264108194e-05,0.00979037454348887,0.23809183162498848,0.04091852063810002,0.5940339080048644,0.011926052343821856,0.0015431310230652102,0.7686836377014501,0.4705527679274013,0.01906942045721644,0.012110001737299828,0.0,0.1068235005569579,0.8283445576528058,0.2651630506984967,0.12333806832698026,0.0015124727908188815,0.010045680766047031,0.029912215261668013,0.3160659356381511,0.12158032967819077,0.3174966531429798,0.012661849917733742,0.0054162876968514,0.013356769848650526,0.14287758167864043,0.0010117216641288462,0.23157184756726926,0.08105014664854425,0.07563385895169285,0.11383401633061838,0.14489080559614934,0.1887831747621432,0.05807691128529529,0.031649515088959974,0.0020132239175089162,0.025804012140659967
Jordan,544.0,6570.0,28.203957382039572,919.0,5792.0,12.077205882352942,10.647058823529411,1.6893382352941178,5.657631215469613,0.0010359116022099447,0.00949585635359116,0.00017265193370165745,0.007078729281767956,0.008459944751381215,0.04074585635359116,0.0,0.4885745375408052,0.026115342763873776,0.0,0.0,0.08596300326441784,0.0,0.002176278563656148,0.019600829816152802,0.0027898991344159096,0.04513913727734459,0.0012876457543458044,0.00014307175048286716,0.05958938407611417,0.03891551613133987,0.0019314686315187067,0.0016453251305529723,0.0,0.0046498318906931825,0.06638529222405036,0.030259675227126404,0.01645325130552972,0.0002861435009657343,0.00100150225338007,0.001359181629587238,0.012304170541526575,0.007868946276557693,0.021460762572430073,0.0018599327562772731,0.00021460762572430073,0.0010730381286215038,0.009871950783317833,0.0,0.012804921668216611,0.005436726518348952,0.004220616639244581,0.009871950783317833,0.00801201802704056,0.017955504685599828,0.0025037556334501754,0.0026468273839330425,0.00014307175048286716,0.0011445740038629373
Martineau,9091.23076923077,111400.07692307692,7.798292348087295,17183.384615384617,96431.38461538461,13.237736795624311,11.552382575238337,1.933391707949982,5.32394091303541,0.014286494779349993,0.017507871736922073,5.910495961470397e-05,0.009475060080605436,0.008998407603690174,0.038229610043093894,0.0,0.42400607904569576,0.06799986216328475,0.012270102213614834,0.015156568059684615,0.08897193001997938,0.0,0.01434596286223578,0.2926312545741689,0.04614614229035861,0.7447765054174668,0.023804938176495517,0.0009904967341121571,0.9412305271093453,0.4133783092220749,0.02143324877426029,0.01541322973471196,0.0,0.13952797327859925,0.9422265266030915,0.3066027612847843,0.2510028779432885,0.007005013014026534,0.011858447011176103,0.027288185024789937,0.48401723464317364,0.1852008782404376,0.37281196520054805,0.013206623121495429,0.005645831384439296,0.02925267021411238,0.20004732373285203,0.00471586500630066,0.311192062819504,0.3740170695603845,0.11681258150962706,0.19299828864175383,0.12646442190758664,0.12037286699279687,0.04658636306107512,0.046399269233520606,0.0028504294903894303,0.04790702537322467
Mill,4346.363636363636,86287.72727272728,9.98422940771533,10766.181818181818,76682.36363636363,20.38342982337896,18.169010069881917,2.475617815929404,5.727457451414917,0.0021372734858780547,0.017001746741472413,3.588764042198051e-05,0.011025546257721263,0.008964098085750272,0.03418431746862621,0.0,0.5714192570783144,0.06700428790068373,0.0004908154501413914,0.008823514655190759,0.042248844573356474,0.00027902415758555057,0.017122592429779177,0.21886075867047328,0.05043279204521068,0.7090961117000175,0.016069558883780217,0.0014372207662142567,0.8786166262380584,0.45158647061501345,0.02499853676618824,0.014742893561120901,0.0,0.1069851530542567,0.8320922942855842,0.32245120928145465,0.11003518264409601,0.005163589540154388,0.007862443015172109,0.005404210211421027,0.19438248281513182,0.06953287073467344,0.2954236549629639,0.014781913129434414,0.007452737547880264,0.008720873518069312,0.16347248144944693,0.00020810436433871588,0.21724144658546266,0.0647854899231965,0.08519922741254739,0.17592622700284194,0.11357295683785416,0.18119386872516566,0.08009416722486327,0.029888989328148065,0.0018794425404340274,0.02064785489923196
Russell,3944.0,59102.90909090909,10.416539280109992,7857.454545454545,52584.09090909091,14.827411072126834,13.243552864076404,1.889332370202245,5.725139121823663,0.00524775449822738,0.018731402757142548,8.062877661786839e-05,0.01163964138839762,0.009476462366165568,0.03029651352009527,0.0,0.47822633002806775,0.033847214512680406,0.00034930561406728406,0.004880526367448835,0.05512190374504904,0.0002490947624571032,0.015566045813164392,0.1377260696239164,0.031202648128036206,0.44575954841352944,0.013500770636474192,0.0008129076731981089,0.5614395619403131,0.33949625737307265,0.011478256345557296,0.006704862488538002,0.0,0.08084204228420554,0.5589162965227061,0.20343502266386596,0.1081882564105899,0.004740877550091371,0.005612314575759743,0.008207115868608107,0.15486866663631813,0.04584148950698775,0.19672365691394236,0.009566297498195346,0.0025622849859204388,0.005209112369853482,0.11180406974097509,0.00016258153463962174,0.16256852811685063,0.04694704394253719,0.04567890797234813,0.110223777224278,0.09546137387900032,0.15295670778895618,0.04877446039188653,0.021994030006048035,0.0012876457543458046,0.015893970826369428
Santayana,5914.444444444444,94366.88888888889,11.45613708977024,11432.111111111111,84140.77777777778,16.132921972379766,14.328875564070264,2.0035343912440187,5.7523304656904966,0.0027905353030654935,0.01892514159841131,0.00017441826645793823,0.008520024493564678,0.009305469404151077,0.04861380390063251,0.0,0.5232610194629133,0.08217370098788249,0.002218500147096379,0.009308690061587264,0.05429940333399311,0.0,0.01596934641476647,0.33086137142221267,0.02144486571126531,0.6692260613141935,0.011684192956100818,0.00047690583494289045,0.8045242466874915,0.5669695018718554,0.019306737884604682,0.012320067402691339,0.0,0.1286532974064271,1.0101501458537012,0.3055774137396571,0.1029401244724229,0.0027978475649982908,0.009339405934298273,0.014195897020133377,0.2786083887736367,0.1325639252529588,0.3284688938169158,0.016429406013782576,0.005261861045536559,0.008965829696926343,0.16845903776299373,0.0003417825150424049,0.2572748010905247,0.11219209767031499,0.07715541566317731,0.15209321919387017,0.10817814022621233,0.22565594423381105,0.06608325186191986,0.030847859090222633,0.0016453251305529725,0.026992870257767605
Sidgwick,10718.0,233370.0,4.020225393152504,25885.0,209278.0,21.773651800709086,19.525844373950363,2.41509610001866,5.806936228366097,0.008878142948613806,0.018085990882940394,0.0002866999875763339,0.016590372614417186,0.009456321256892745,0.035139861810605987,0.0,0.4351941278732857,0.04929495847015646,0.0,0.005601699826154143,0.12377824995170948,0.0,0.0691906509561522,0.6081264754274268,0.0688175119822591,1.5993275627727306,0.028042063094641963,0.005365190643107518,2.3450890621646754,1.476142785606982,0.04449531440017169,0.041705415265755774,0.0,0.3244151942199013,2.1583804277845338,0.7182201874239932,0.4923814292867873,0.003934473138278847,0.014092567422562416,0.0005722870019314686,0.6976893912297017,0.17483367909006367,0.9995707847485514,0.044709922025895986,0.015737892553115387,0.017097074182702624,0.5742900064382288,0.0006438228771729022,0.7410401316260105,0.11302668288146506,0.2047356749409829,0.45110522927248015,0.36054081121682524,0.5278632234065384,0.18348951999427712,0.06173546033335718,0.002718363259174476,0.06409614421632448
Spencer,6488.5,115356.0,9.993192958050983,14537.0,103085.5,17.406892456384195,15.473368528169075,2.2848221446186567,5.890412577211066,0.0009099253691657105,0.014893657154573192,5.8188935770756245e-05,0.012626583775928645,0.00895058683132471,0.03541979555731606,0.0,0.4939958014163242,0.07851742460281066,0.0030567937573957736,0.009253349495710671,0.08483111061853342,4.7514967214672624e-05,0.017506159963957067,0.2920809786107733,0.037413262751269764,0.8910329780384864,0.02661134558981329,0.0014664854424493886,1.1757636454682023,0.6746548394019602,0.033818585020387724,0.019457758065669933,0.0,0.12202231919307534,1.1010444237785249,0.5181343443737034,0.108233779240289,0.0023785678517776665,0.006062665426711497,0.008262393590385579,0.2543279204521067,0.09560769726017598,0.41152800629515707,0.030027183632591742,0.006617068459832606,0.016435367336719364,0.18069962085986122,0.00033979540739680953,0.2525395235710709,0.07039130123757065,0.1383682666857429,0.2532191143858645,0.17782030188139353,0.266417483367909,0.10826954717790972,0.02362472279848344,0.0019851205379497823,0.0350346948994921
Thoreau,5406.6,76509.1,13.908973572158564,10716.2,67581.6,14.47814865715992,12.766039029583172,2.0258985217064014,5.289615389345917,0.017836135639640115,0.010581644700014964,0.0001728350757333741,0.010290106073689385,0.008842063200252092,0.043756580063893505,0.0,0.5333146950604878,0.041205584521477115,0.010027008316660193,0.014581011739415173,0.07682123421320956,1.783166904422254e-05,0.0038632442171744213,0.2424493883682667,0.0423206237928321,0.5810716074111167,0.014929537162887188,0.0020101580942842837,0.6487874669146578,0.33789255311538735,0.017540596609199512,0.0156735102653981,0.0,0.056620645253594684,0.7310179555046856,0.25212819228843264,0.15657057014092565,0.00355533299949925,0.007740181701123114,0.005422419343300665,0.28662994491737603,0.10376278703769941,0.2734458831103799,0.00977895414550397,0.0037413262751269756,0.022591029401244724,0.11386365262178984,0.00095858072823521,0.16131339866943273,0.1972601759782531,0.07955504685599826,0.12313470205307961,0.10292581729737463,0.11033693397238716,0.0420559410544388,0.02411474354388726,0.002632520208884755,0.03155447456899635
Wollstonecraft,2870.4,51708.2,12.466428712548915,7559.2,44727.2,17.52558891537433,15.150628020096292,2.604043401390524,5.521940322900682,0.031037304598996434,0.015321340350482892,0.00011209880900294341,0.006572963794397697,0.00884359849333333,0.03508743115500765,0.0,0.5321765153394835,0.10439903492848099,0.014576322587120577,0.014249625484884806,0.08386969310442309,0.0,0.01013099912898126,0.1339580799771085,0.010215322984476716,0.3150869160884183,0.0025466771585950353,0.000600901352028042,0.3992417197224408,0.22366406752986623,0.007082051648901924,0.005536876743686959,0.0,0.058516345947492665,0.5157164317905429,0.146605622719794,0.05452464410902067,0.00037198655125545457,0.004335074039630875,0.005908863294942414,0.21736891050862006,0.11033693397238716,0.17022676872451536,0.008040632377137135,0.00466413906574147,0.008598612204020317,0.12594606195006794,0.0011731883539595107,0.17011231132412907,0.16135632019457757,0.05443880105873096,0.09867658630803347,0.06256527648615781,0.053723442306316614,0.028843264897346017,0.02181844194863724,0.0017454753558909793,0.0216467558480578
